Shipment ID,Origin Airport,Destination Airport,Shipment Weight (kg),Shipment Volume (m³),Freight Cost (USD),Mode of Transport,Carrier Name,Transit Time (hours),Temperature-Sensitive,Perishable Goods,Customs Clearance Time (hours),Weather Conditions,Day of Week,Delay Status
SHIP000030,DFW,CDG,641.52,28.96,1212.7,Air,FedEx,61,No,No,6,Clear,Thursday,On-Time
SHIP000031,ATL,NRT,953.73,11.37,1802.88,Air,Lufthansa Cargo,30,No,Yes,8,Clear,Saturday,On-Time
SHIP000032,JFK,DXB,980.68,22.83,1853.83,Air,FedEx,10,Yes,Yes,6,Rainy,Sunday,On-Time
SHIP000033,JFK,LHR,13.25,0.65,25.05,Truck,Lufthansa Cargo,60,No,No,29,Clear,Wednesday,Delayed
SHIP000034,ORD,SYD,129.01,33.47,243.87,Truck,Emirates Cargo,51,No,No,11,Foggy,Sunday,On-Time
SHIP000035,ORD,DXB,551.45,16.68,1042.43,Air,Emirates Cargo,23,Yes,No,7,Clear,Friday,Delayed
SHIP000036,SFO,SIN,956.29,32.85,1807.72,Air,Emirates Cargo,7,Yes,No,23,Clear,Thursday,Delayed
SHIP000037,LAX,NRT,994.29,46.33,1879.55,Air,UPS,17,No,No,26,Clear,Sunday,Delayed
SHIP000038,ATL,LHR,571.73,29.62,1080.77,Air,FedEx,45,No,Yes,31,Stormy,Tuesday,Delayed
SHIP000039,ATL,DXB,182.06,16.47,344.16,Air,Lufthansa Cargo,45,No,No,8,Clear,Monday,On-Time
SHIP000040,SFO,NRT,171.42,10.44,324.04,Air,Lufthansa Cargo,11,No,No,20,Clear,Sunday,Delayed
SHIP000041,MIA,SIN,766.22,12.66,1448.42,Air,Lufthansa Cargo,26,No,No,41,Rainy,Wednesday,Delayed
SHIP000042,MIA,CDG,596.02,49.37,1126.69,Truck,FedEx,35,Yes,Yes,43,Clear,Sunday,On-Time
SHIP000043,SFO,SIN,553.29,30.81,1045.91,Air,Emirates Cargo,23,No,No,20,Rainy,Saturday,Delayed
SHIP000044,MIA,CDG,471.11,22.08,890.56,Air,UPS,51,Yes,No,13,Clear,Saturday,On-Time
SHIP000045,ORD,NRT,727.88,11.63,1375.95,Air,FedEx,19,Yes,Yes,45,Foggy,Wednesday,Delayed
SHIP000046,ATL,NRT,859.47,38.68,1624.7,Air,UPS,60,No,No,4,Clear,Saturday,Delayed
SHIP000047,SFO,LHR,309.93,19.43,585.88,Air,UPS,54,No,No,24,Clear,Friday,Delayed
SHIP000048,ATL,SIN,228.71,15.13,432.34,Rail,UPS,21,No,No,5,Clear,Thursday,On-Time
SHIP000049,JFK,HKG,673.5,11.19,1273.15,Air,FedEx,38,No,Yes,29,Clear,Monday,Delayed
SHIP000050,ORD,SYD,915.59,9.36,1730.78,Air,Emirates Cargo,46,Yes,No,15,Clear,Sunday,Delayed
SHIP000051,DFW,HKG,354.68,13.74,670.47,Air,Emirates Cargo,33,No,No,22,Clear,Friday,On-Time
SHIP000052,ORD,HKG,279.72,31.4,528.77,Air,DHL,10,No,No,20,Clear,Thursday,On-Time
SHIP000053,SFO,HKG,233.85,12.07,442.06,Rail,Lufthansa Cargo,28,No,No,14,Stormy,Friday,Delayed
SHIP000054,DFW,SYD,261.95,3.12,495.18,Air,Lufthansa Cargo,24,No,No,15,Stormy,Thursday,On-Time
SHIP000055,JFK,HKG,143.58,18.02,271.42,Air,Emirates Cargo,56,Yes,No,4,Clear,Friday,On-Time
SHIP000056,SFO,CDG,600.81,29.28,1135.74,Air,Lufthansa Cargo,27,No,Yes,1,Clear,Wednesday,Delayed
SHIP000057,LAX,SIN,288.02,3.1,544.46,Air,Emirates Cargo,58,Yes,Yes,36,Foggy,Tuesday,Delayed
SHIP000058,ATL,NRT,618.79,22.69,1169.73,Air,UPS,12,Yes,No,31,Stormy,Friday,Delayed
SHIP000059,JFK,LHR,92.2,2.71,174.29,Rail,DHL,16,Yes,No,34,Stormy,Thursday,Delayed
SHIP000060,ATL,HKG,124.3,38.43,234.97,Air,Lufthansa Cargo,49,Yes,No,21,Clear,Sunday,On-Time
SHIP000061,MIA,NRT,540.78,43.61,1022.26,Air,UPS,61,Yes,No,17,Clear,Sunday,On-Time
SHIP000062,LAX,HKG,516.42,48.19,976.21,Rail,Lufthansa Cargo,69,No,No,11,Clear,Wednesday,Delayed
SHIP000063,LAX,LHR,278.79,34.59,527.01,Air,DHL,8,Yes,No,44,Clear,Sunday,On-Time
SHIP000064,JFK,LHR,828.86,31.64,1566.83,Air,FedEx,66,No,No,17,Clear,Saturday,On-Time
SHIP000065,LAX,HKG,195.18,34.73,368.96,Air,DHL,35,No,No,18,Stormy,Saturday,On-Time
SHIP000066,DFW,CDG,367.05,42.75,693.85,Air,UPS,58,No,Yes,8,Clear,Friday,Delayed
SHIP000067,LAX,NRT,559.96,40.37,1058.52,Rail,DHL,35,No,No,43,Clear,Tuesday,On-Time
SHIP000068,ATL,LHR,868.54,21.98,1641.84,Air,UPS,36,Yes,No,33,Rainy,Thursday,On-Time
SHIP000069,ATL,SIN,424.37,32.59,802.21,Truck,DHL,44,No,No,20,Clear,Friday,On-Time
SHIP000070,SFO,NRT,404.61,8.18,764.85,Air,Lufthansa Cargo,8,No,No,11,Clear,Sunday,On-Time
SHIP000071,ATL,SIN,583.74,34.78,1103.47,Air,DHL,11,Yes,No,4,Rainy,Thursday,On-Time
SHIP000072,SFO,NRT,323.53,36.57,611.58,Air,DHL,60,Yes,Yes,26,Stormy,Thursday,On-Time
SHIP000073,ATL,CDG,712.08,40.09,1346.08,Air,Emirates Cargo,61,No,No,2,Foggy,Friday,Delayed
SHIP000074,DFW,SYD,256.21,40.9,484.33,Air,DHL,50,No,No,40,Clear,Saturday,Delayed
SHIP000075,SFO,DXB,824.96,22.05,1559.46,Truck,Lufthansa Cargo,53,Yes,No,35,Clear,Sunday,On-Time
SHIP000076,ORD,CDG,279.63,45.19,528.6,Air,UPS,54,No,No,12,Clear,Friday,On-Time
SHIP000077,MIA,HKG,992.77,49.05,1876.68,Air,FedEx,53,No,No,8,Clear,Tuesday,Delayed
SHIP000078,JFK,DXB,323.3,48.9,611.15,Truck,FedEx,47,No,No,18,Stormy,Friday,Delayed
SHIP000079,ATL,HKG,880.04,29.33,1663.58,Air,FedEx,69,No,No,42,Clear,Tuesday,On-Time
SHIP000080,LAX,SIN,403.38,28.02,762.53,Air,FedEx,10,No,No,40,Stormy,Wednesday,On-Time
SHIP000081,ATL,LHR,253.59,22.92,479.37,Air,UPS,34,No,No,23,Rainy,Sunday,Delayed
SHIP000082,LAX,NRT,233.9,15.06,442.15,Air,UPS,71,No,No,46,Clear,Sunday,On-Time
SHIP000083,MIA,HKG,851.69,16.75,1609.99,Truck,FedEx,58,No,No,1,Clear,Sunday,Delayed
SHIP000084,MIA,SIN,315.67,10.87,596.73,Air,DHL,29,No,No,3,Rainy,Saturday,Delayed
SHIP000085,MIA,CDG,345.18,47.79,652.51,Truck,DHL,46,No,No,47,Clear,Monday,Delayed
SHIP000086,LAX,HKG,205.02,31.03,387.56,Air,Emirates Cargo,65,Yes,Yes,37,Rainy,Monday,Delayed
SHIP000087,ATL,SIN,961.71,46.73,1817.97,Air,UPS,42,Yes,No,7,Stormy,Monday,Delayed
SHIP000088,MIA,LHR,252.3,19.42,476.93,Air,Emirates Cargo,40,No,Yes,14,Clear,Sunday,Delayed
SHIP000089,DFW,NRT,254.97,14.98,481.98,Air,Lufthansa Cargo,45,No,No,41,Rainy,Tuesday,On-Time
SHIP000090,SFO,HKG,944.46,6.72,1785.36,Rail,UPS,51,No,Yes,21,Foggy,Monday,Delayed
SHIP000091,LAX,SYD,901.89,15.08,1704.89,Truck,FedEx,35,No,No,17,Rainy,Thursday,Delayed
SHIP000092,LAX,SIN,256.42,44.52,484.72,Air,FedEx,6,Yes,No,24,Clear,Wednesday,Delayed
SHIP000093,ATL,HKG,866.08,29.16,1637.19,Air,Emirates Cargo,38,No,Yes,8,Clear,Saturday,On-Time
SHIP000094,LAX,LHR,257.32,22.68,486.42,Truck,UPS,12,No,No,16,Clear,Wednesday,Delayed
SHIP000095,LAX,NRT,93.62,28.46,176.97,Air,DHL,60,No,Yes,11,Rainy,Monday,On-Time
SHIP000096,MIA,HKG,822.16,44.65,1554.17,Air,UPS,15,No,Yes,37,Clear,Saturday,Delayed
SHIP000097,ATL,HKG,773.84,9.72,1462.83,Air,Emirates Cargo,71,No,No,33,Clear,Thursday,On-Time
SHIP000098,MIA,NRT,301.72,48.29,570.36,Truck,Emirates Cargo,16,No,No,28,Foggy,Tuesday,Delayed
SHIP000099,SFO,SYD,99.24,33.34,187.6,Air,FedEx,65,Yes,Yes,7,Clear,Saturday,Delayed
SHIP000100,SFO,SIN,214.37,42.78,405.23,Air,FedEx,5,Yes,No,14,Rainy,Sunday,Delayed
SHIP000101,MIA,DXB,773.35,26.32,1461.9,Air,Lufthansa Cargo,15,No,Yes,47,Rainy,Tuesday,Delayed
SHIP000102,SFO,NRT,965.1,11.91,1824.37,Air,Emirates Cargo,34,No,Yes,41,Clear,Monday,On-Time
SHIP000103,ATL,HKG,266.41,28.41,503.61,Truck,Lufthansa Cargo,6,Yes,Yes,21,Clear,Wednesday,Delayed
SHIP000104,JFK,DXB,820.08,3.49,1550.24,Rail,Lufthansa Cargo,10,No,No,43,Clear,Monday,Delayed
SHIP000105,MIA,CDG,235.65,42.62,445.46,Air,FedEx,28,No,No,36,Clear,Sunday,Delayed
SHIP000106,DFW,HKG,682.8,32.51,1290.73,Air,DHL,40,No,Yes,43,Clear,Tuesday,Delayed
SHIP000107,DFW,DXB,92.78,14.21,175.39,Air,FedEx,6,No,No,23,Clear,Wednesday,Delayed
SHIP000108,LAX,CDG,589.44,13.8,1114.25,Air,UPS,71,No,No,38,Stormy,Wednesday,On-Time
SHIP000109,SFO,SYD,276.5,45.15,522.68,Rail,DHL,30,No,No,19,Clear,Monday,On-Time
SHIP000110,DFW,SIN,926.59,42.06,1751.58,Rail,Emirates Cargo,33,Yes,No,2,Clear,Saturday,On-Time
SHIP000111,LAX,HKG,296.85,38.18,561.15,Air,DHL,54,No,No,9,Stormy,Sunday,Delayed
SHIP000112,JFK,SIN,404.46,20.8,764.57,Rail,Emirates Cargo,11,No,Yes,29,Clear,Saturday,On-Time
SHIP000113,ATL,CDG,842.27,43.64,1592.18,Air,Emirates Cargo,64,No,No,13,Stormy,Monday,Delayed
SHIP000114,ATL,SIN,443.89,12.42,839.11,Truck,Lufthansa Cargo,27,No,No,19,Clear,Wednesday,On-Time
SHIP000115,ATL,SIN,246.03,1.31,465.08,Air,UPS,26,No,Yes,16,Clear,Tuesday,Delayed
SHIP000116,DFW,NRT,552.07,21.7,1043.6,Air,FedEx,54,No,No,44,Rainy,Wednesday,Delayed
SHIP000117,JFK,LHR,841.59,45.98,1590.9,Air,Lufthansa Cargo,52,No,Yes,15,Clear,Thursday,On-Time
SHIP000118,DFW,CDG,438.85,28.6,829.58,Air,Lufthansa Cargo,19,No,No,6,Foggy,Wednesday,On-Time
SHIP000119,SFO,SIN,141.56,11.55,267.6,Air,UPS,10,No,Yes,27,Clear,Friday,Delayed
SHIP000120,DFW,DXB,389.26,32.58,735.84,Air,FedEx,63,No,No,17,Rainy,Friday,Delayed
SHIP000121,JFK,CDG,954.93,37.27,1805.15,Air,Lufthansa Cargo,30,No,No,8,Clear,Friday,On-Time
SHIP000122,JFK,LHR,81.3,27.56,153.69,Air,DHL,43,No,Yes,35,Stormy,Thursday,On-Time
SHIP000123,SFO,HKG,414.36,42.15,783.28,Air,FedEx,31,No,Yes,36,Clear,Thursday,Delayed
SHIP000124,JFK,SYD,651.55,29.66,1231.66,Air,UPS,69,Yes,No,39,Foggy,Friday,Delayed
SHIP000125,JFK,SIN,87.73,4.89,165.84,Air,DHL,47,No,No,20,Rainy,Sunday,Delayed
SHIP000126,ATL,DXB,351.5,40.5,664.46,Rail,DHL,45,No,No,44,Stormy,Wednesday,On-Time
SHIP000127,SFO,LHR,941.17,7.4,1779.14,Air,Lufthansa Cargo,65,No,No,31,Rainy,Saturday,On-Time
SHIP000128,ORD,CDG,40.33,44.15,76.24,Air,UPS,36,No,No,12,Rainy,Thursday,On-Time
SHIP000129,ORD,SYD,754.22,26.14,1425.74,Air,UPS,7,Yes,No,29,Rainy,Friday,Delayed
SHIP000130,JFK,SYD,842.96,36.62,1593.49,Air,Lufthansa Cargo,65,No,No,24,Clear,Tuesday,On-Time
SHIP000131,ORD,SIN,284.29,48.61,537.41,Air,FedEx,21,No,No,22,Stormy,Wednesday,Delayed
SHIP000132,ORD,LHR,222.57,21.65,420.73,Rail,Emirates Cargo,13,No,No,11,Foggy,Saturday,Delayed
SHIP000133,JFK,LHR,915.67,23.04,1730.94,Air,Lufthansa Cargo,61,No,No,42,Clear,Wednesday,Delayed
SHIP000134,ORD,DXB,766.36,41.31,1448.69,Air,DHL,52,No,No,33,Rainy,Tuesday,On-Time
SHIP000135,DFW,HKG,122.25,5.6,231.1,Air,Emirates Cargo,11,Yes,Yes,35,Clear,Wednesday,Delayed
SHIP000136,LAX,HKG,220.08,1.48,416.03,Air,FedEx,36,No,No,7,Clear,Wednesday,Delayed
SHIP000137,SFO,NRT,625.14,30.26,1181.73,Air,FedEx,62,No,Yes,26,Clear,Saturday,On-Time
SHIP000138,LAX,HKG,425.22,8.46,803.81,Air,FedEx,9,No,No,17,Foggy,Monday,Delayed
SHIP000139,JFK,NRT,509.13,12.86,962.43,Rail,Emirates Cargo,43,Yes,No,16,Clear,Friday,On-Time
SHIP000140,ATL,SYD,952.03,48.82,1799.67,Air,Lufthansa Cargo,19,Yes,No,8,Clear,Sunday,On-Time
SHIP000141,SFO,SYD,426.03,32.69,805.34,Air,UPS,36,No,No,39,Clear,Monday,On-Time
SHIP000142,JFK,CDG,882.87,42.8,1668.93,Air,Lufthansa Cargo,57,No,Yes,3,Foggy,Saturday,On-Time
SHIP000143,ATL,SYD,664.14,44.9,1255.46,Air,Lufthansa Cargo,63,No,No,21,Stormy,Wednesday,Delayed
SHIP000144,LAX,SYD,130.4,6.16,246.5,Air,Emirates Cargo,7,No,No,32,Rainy,Monday,On-Time
SHIP000145,JFK,LHR,747.06,46.4,1412.2,Air,DHL,29,Yes,Yes,19,Rainy,Friday,Delayed
SHIP000146,SFO,CDG,525.01,43.34,992.45,Air,Emirates Cargo,61,No,No,38,Stormy,Saturday,Delayed
SHIP000147,SFO,LHR,232.85,2.36,440.17,Air,DHL,55,No,Yes,30,Foggy,Sunday,On-Time
SHIP000148,MIA,DXB,296.65,48.86,560.77,Truck,Emirates Cargo,21,Yes,No,16,Clear,Sunday,On-Time
SHIP000149,DFW,NRT,561.76,22.97,1061.92,Truck,DHL,51,No,No,28,Foggy,Tuesday,Delayed
SHIP000150,ORD,NRT,605.69,48.73,1144.96,Truck,UPS,15,No,No,39,Clear,Monday,On-Time
SHIP000151,ATL,DXB,968.49,41.21,1830.78,Air,UPS,39,No,No,9,Clear,Tuesday,Delayed
SHIP000152,MIA,NRT,856.17,22.06,1618.46,Rail,FedEx,10,Yes,Yes,4,Clear,Tuesday,On-Time
SHIP000153,ORD,CDG,213.78,25.63,404.12,Truck,FedEx,29,No,No,2,Clear,Sunday,Delayed
SHIP000154,ORD,CDG,776.25,13.83,1467.38,Rail,DHL,21,No,No,40,Foggy,Saturday,On-Time
SHIP000155,JFK,SYD,18.21,24.4,34.42,Air,Lufthansa Cargo,59,Yes,No,21,Foggy,Sunday,Delayed
SHIP000156,ORD,NRT,138.51,5.46,261.83,Air,FedEx,34,No,No,11,Rainy,Saturday,Delayed
SHIP000157,DFW,DXB,207.7,45.44,392.63,Truck,Emirates Cargo,14,Yes,Yes,36,Clear,Monday,On-Time
SHIP000158,SFO,SIN,601.23,35.69,1136.53,Truck,UPS,32,Yes,No,22,Clear,Saturday,On-Time
SHIP000159,MIA,HKG,202.74,40.28,383.25,Air,FedEx,71,No,No,30,Clear,Tuesday,Delayed
SHIP000160,ORD,SYD,371.62,26.6,702.49,Air,FedEx,59,No,No,18,Clear,Tuesday,On-Time
SHIP000161,JFK,HKG,250.35,6.37,473.25,Truck,FedEx,30,No,No,6,Clear,Saturday,On-Time
SHIP000162,DFW,DXB,344.04,26.91,650.36,Truck,Emirates Cargo,45,No,No,8,Rainy,Thursday,On-Time
SHIP000163,LAX,NRT,943.03,16.53,1782.65,Air,Emirates Cargo,65,No,No,31,Clear,Friday,Delayed
SHIP000164,SFO,NRT,997.4,0.6,1885.43,Air,FedEx,61,No,Yes,13,Rainy,Monday,On-Time
SHIP000165,SFO,HKG,688.86,30.79,1302.19,Air,Lufthansa Cargo,49,No,No,42,Rainy,Sunday,Delayed
SHIP000166,MIA,SIN,576.58,42.7,1089.94,Air,Lufthansa Cargo,32,Yes,No,45,Clear,Tuesday,On-Time
SHIP000167,SFO,NRT,711.36,35.56,1344.72,Air,Emirates Cargo,24,No,No,14,Clear,Friday,Delayed
SHIP000168,ORD,SIN,773.94,11.25,1463.02,Air,Emirates Cargo,42,No,No,19,Clear,Monday,On-Time
SHIP000169,JFK,LHR,741.62,40.97,1401.92,Truck,UPS,17,No,No,5,Clear,Sunday,On-Time
SHIP000170,SFO,CDG,91.07,15.54,172.15,Air,Lufthansa Cargo,17,No,No,38,Clear,Thursday,On-Time
SHIP000171,SFO,HKG,317.19,11,599.6,Air,FedEx,36,Yes,No,35,Clear,Tuesday,Delayed
SHIP000172,LAX,NRT,350,48.06,661.62,Rail,DHL,27,No,No,12,Stormy,Thursday,Delayed
SHIP000173,LAX,SIN,375.56,0.93,709.94,Air,UPS,59,No,No,19,Clear,Thursday,Delayed
SHIP000174,ATL,NRT,350.87,8.46,663.27,Air,UPS,41,Yes,No,17,Clear,Saturday,On-Time
SHIP000175,DFW,CDG,789.22,23.4,1491.9,Air,FedEx,20,No,No,39,Rainy,Monday,Delayed
SHIP000176,ORD,CDG,750.13,8.44,1418.01,Air,FedEx,15,No,No,18,Clear,Tuesday,On-Time
SHIP000177,SFO,LHR,14.55,8.43,27.5,Air,Emirates Cargo,15,No,No,37,Foggy,Wednesday,On-Time
SHIP000178,SFO,CDG,303.42,31.75,573.57,Air,Lufthansa Cargo,29,No,No,29,Clear,Wednesday,On-Time
SHIP000179,JFK,CDG,627.43,40.97,1186.06,Air,Emirates Cargo,40,Yes,No,21,Clear,Monday,Delayed
SHIP000180,ATL,SYD,129.06,33.11,243.97,Air,Lufthansa Cargo,49,Yes,No,3,Rainy,Friday,Delayed
SHIP000181,DFW,DXB,80.49,5.16,152.15,Air,Lufthansa Cargo,56,No,No,41,Clear,Wednesday,Delayed
SHIP000182,ATL,NRT,830.11,44.78,1569.2,Air,DHL,39,No,No,31,Clear,Thursday,Delayed
SHIP000183,MIA,LHR,458.16,46.15,866.08,Truck,UPS,29,No,No,38,Clear,Saturday,Delayed
SHIP000184,DFW,LHR,857.13,14.12,1620.27,Rail,DHL,6,Yes,No,36,Rainy,Saturday,Delayed
SHIP000185,SFO,HKG,825.32,27.7,1560.14,Truck,FedEx,54,No,No,40,Foggy,Tuesday,On-Time
SHIP000186,SFO,CDG,894.44,24.31,1690.8,Air,DHL,31,No,No,20,Clear,Sunday,On-Time
SHIP000187,DFW,HKG,57.79,33.44,109.24,Air,DHL,54,No,No,4,Clear,Thursday,Delayed
SHIP000188,SFO,SYD,194.27,48.9,367.24,Air,UPS,40,No,No,20,Clear,Friday,On-Time
SHIP000189,ORD,SIN,303.18,49.32,573.12,Air,DHL,23,No,Yes,28,Rainy,Thursday,On-Time
SHIP000190,DFW,CDG,144.87,25.51,273.85,Air,UPS,30,No,No,41,Clear,Sunday,On-Time
SHIP000191,ATL,SIN,490.62,4.69,927.44,Air,UPS,37,No,No,28,Clear,Saturday,On-Time
SHIP000192,DFW,DXB,800.99,16.79,1514.15,Air,UPS,8,Yes,No,35,Clear,Thursday,On-Time
SHIP000193,SFO,SYD,951.67,20.74,1798.99,Air,UPS,70,No,Yes,10,Clear,Monday,Delayed
SHIP000194,ORD,CDG,890.68,26.78,1683.7,Rail,DHL,34,No,Yes,9,Clear,Thursday,On-Time
SHIP000195,ORD,HKG,462.76,48.02,874.78,Truck,Emirates Cargo,70,No,No,28,Clear,Friday,Delayed
SHIP000196,MIA,HKG,640.13,13.19,1210.07,Air,Emirates Cargo,60,No,No,45,Clear,Saturday,On-Time
SHIP000197,ATL,CDG,238.39,26.88,450.64,Truck,FedEx,14,Yes,No,26,Clear,Sunday,On-Time
SHIP000198,LAX,NRT,408.98,14.62,773.11,Air,UPS,44,Yes,No,19,Clear,Monday,Delayed
SHIP000199,LAX,HKG,872.47,45.98,1649.27,Air,Emirates Cargo,61,Yes,No,38,Foggy,Monday,Delayed
SHIP000200,DFW,NRT,38.91,49.5,73.55,Air,FedEx,53,No,Yes,8,Rainy,Saturday,On-Time
SHIP000201,MIA,CDG,537.43,43.55,1015.93,Air,DHL,70,Yes,No,3,Rainy,Saturday,Delayed
SHIP000202,JFK,LHR,874.07,17,1652.3,Air,FedEx,23,Yes,No,14,Clear,Wednesday,On-Time
SHIP000203,DFW,HKG,130.79,13.97,247.24,Air,Emirates Cargo,25,Yes,No,4,Rainy,Saturday,Delayed
SHIP000204,MIA,NRT,982.72,21.62,1857.68,Air,FedEx,60,No,No,22,Clear,Saturday,Delayed
SHIP000205,ATL,CDG,22.27,37.4,42.1,Air,FedEx,65,No,No,30,Clear,Wednesday,On-Time
SHIP000206,ATL,CDG,887.26,0.56,1677.23,Truck,FedEx,28,Yes,No,46,Clear,Wednesday,On-Time
SHIP000207,ATL,NRT,360.14,49.76,680.79,Air,Emirates Cargo,19,Yes,No,11,Clear,Tuesday,Delayed
SHIP000208,ATL,HKG,141.36,44.18,267.22,Air,UPS,10,No,Yes,7,Clear,Sunday,Delayed
SHIP000209,ATL,LHR,165.78,1.29,313.38,Air,DHL,47,No,No,12,Foggy,Wednesday,On-Time
SHIP000210,MIA,HKG,704.17,19.17,1331.13,Air,UPS,48,Yes,Yes,28,Clear,Monday,On-Time
SHIP000211,MIA,CDG,872.01,34.42,1648.4,Air,Lufthansa Cargo,24,No,Yes,35,Clear,Monday,Delayed
SHIP000212,ORD,LHR,644.66,12.15,1218.63,Air,UPS,7,Yes,No,25,Clear,Wednesday,Delayed
SHIP000213,LAX,SIN,929.44,7.23,1756.97,Truck,DHL,9,Yes,No,4,Clear,Sunday,On-Time
SHIP000214,SFO,DXB,844.05,31.5,1595.55,Truck,FedEx,45,Yes,No,40,Rainy,Monday,Delayed
SHIP000215,ATL,HKG,18.94,45.19,35.8,Rail,UPS,35,Yes,Yes,15,Rainy,Thursday,Delayed
SHIP000216,JFK,SYD,672.74,47.78,1271.71,Air,Emirates Cargo,51,Yes,No,17,Clear,Tuesday,On-Time
SHIP000217,SFO,CDG,311.59,0.61,589.01,Truck,Lufthansa Cargo,8,No,No,15,Rainy,Tuesday,Delayed
SHIP000218,MIA,LHR,459.96,43.74,869.48,Rail,FedEx,31,No,No,39,Clear,Tuesday,Delayed
SHIP000219,JFK,NRT,103.09,28.08,194.88,Air,FedEx,42,No,No,35,Clear,Sunday,Delayed
SHIP000220,JFK,NRT,289.28,11.96,546.84,Air,FedEx,27,No,No,26,Clear,Thursday,Delayed
SHIP000221,JFK,NRT,636.36,30.89,1202.94,Air,UPS,52,No,No,2,Stormy,Wednesday,On-Time
SHIP000222,ORD,LHR,226.2,49.79,427.6,Air,Emirates Cargo,40,Yes,Yes,45,Clear,Sunday,Delayed
SHIP000223,MIA,SIN,651.06,13.88,1230.73,Air,DHL,50,Yes,No,26,Rainy,Monday,On-Time
SHIP000224,JFK,HKG,923.8,13.92,1746.3,Rail,Lufthansa Cargo,8,No,No,42,Clear,Monday,On-Time
SHIP000225,ATL,SYD,14.89,34.98,28.15,Air,Emirates Cargo,67,Yes,No,25,Foggy,Tuesday,On-Time
SHIP000226,DFW,NRT,787.91,2.26,1489.42,Air,UPS,38,No,No,23,Clear,Thursday,On-Time
SHIP000227,JFK,LHR,644.91,41.05,1219.1,Air,Lufthansa Cargo,33,No,No,13,Clear,Saturday,On-Time
